Symbol,Company
HDFCBANK,HDFC Bank
RELIANCE,Reliance Industries
ICICIBANK,ICICI Bank
BHARTIARTL,Bharti Airtel
LT,Larsen & Toubro
SBIN,State Bank of India
INFY,Infosys
AXISBANK,Axis Bank
ITC,ITC Limited
KOTAKBANK,Kotak Mahindra Bank
M&M,Mahindra & Mahindra
TCS,Tata Consultancy Services
BAJFINANCE,Bajaj Finance
HINDUNILVR,Hindustan Unilever
NTPC,NTPC Limited
SUNPHARMA,Sun Pharmaceutical
ETERNAL,Eternal Limited
TITAN,Titan Company
TATASTEEL,Tata Steel
MARUTI,Maruti Suzuki
BEL,Bharat Electronics
HINDALCO,Hindalco Industries
POWERGRID,Power Grid Corporation of India
ULTRACEMCO,UltraTech Cement
SHRIRAMFIN,Shriram Finance
HCLTECH,HCL Technologies
ADANIPORTS,Adani Ports & SEZ
JSWSTEEL,JSW Steel
ONGC,Oil and Natural Gas Corporation
ASIANPAINT,Asian Paints
COALINDIA,Coal India
GRASIM,Grasim Industries
BAJAJ-AUTO,Bajaj Auto
NESTLEIND,Nestle India
BAJAJFINSV,Bajaj Finserv
INDIGO,IndiGo
EICHERMOT,Eicher Motors
TRENT,Trent (Westside)
TECHM,Tech Mahindra
JIOFIN,Jio Financial Services
SBILIFE,SBI Life Insurance
DRREDDY,Dr. Reddy's Laboratories
APOLLOHOSP,Apollo Hospitals
TATACONSUM,Tata Consumer Products
MAXHEALTH,Max Healthcare Institute
TMPV,Tata Motors
CIPLA,Cipla
ADANIENT,Adani Enterprises
HDFCLIFE,HDFC Life
WIPRO,Wipro
